doi	title	publisher	publicationYear
10.26008/1912/bco-dmo.904895.1	Element quotas of individual phytoplankton cells from samples collected on the US GEOTRACES Arctic cruise GN01 (HLY1502) on USCGC Healy in August-October 2015	Biological and Chemical Oceanography Data Management Office (BCO-DMO)	2023
10.26008/1912/bco-dmo.663183.1	Particulate data collected on R/V Melville (MV1405, IrnBru) along the California coast in July 2014	Biological and Chemical Oceanography Data Management Office (BCO-DMO)	2023
10.26008/1912/bco-dmo.910948.1	Concentrations of particulate organic matter (POC, PON, POP, PCOD), total oxygen demand, POM ratios, and respiration ratios from samples collected on R/V Atlantic Explorer BATS validation study #58 in the Sargasso Sea in October 2021	Biological and Chemical Oceanography Data Management Office (BCO-DMO)	2023
10.26008/1912/bco-dmo.911221.1	Littorina obtusata shell length, shell thickness, and tissue mass measured during a field experiment conducted at 12 sites in the Gulf of Maine from April to August 2021	Biological and Chemical Oceanography Data Management Office (BCO-DMO)	2023
10.26008/1912/bco-dmo.911365.1	Green crab (Carcinus maenas) density at rocky intertidal sites determined at 8 sites in the Gulf of Maine from April 2019 to December 2021	Biological and Chemical Oceanography Data Management Office (BCO-DMO)	2023
10.26008/1912/bco-dmo.911409.1	Seawater temperatures at study sites in the Gulf of Maine prior to and during an outplant experiment that was conducted from April to August 2021	Biological and Chemical Oceanography Data Management Office (BCO-DMO)	2023
10.26008/1912/bco-dmo.911390.1	Seawater temperatures at high tide at study sites in the Gulf of Maine prior to, during, and after an outplant experiment that was conducted from April to August 2021	Biological and Chemical Oceanography Data Management Office (BCO-DMO)	2023
10.26008/1912/bco-dmo.913904.1	Noble gas concentrations from water samples collected in August and September 2016 during R/V Neil Armstrong cruise AR7-02 as part of the Overturning in the Subpolar North Atlantic Project (O-SNAP)	Biological and Chemical Oceanography Data Management Office (BCO-DMO)	2023
10.26008/1912/bco-dmo.911212.1	MPn-derived methane production by epiphytic bacteria on pelagic Sargassum seaweed from 2017-2019 (Cyanobacteria Hydrocarbons project)	Biological and Chemical Oceanography Data Management Office (BCO-DMO)	2023
10.18710/5tw8yf	Replication Data for: High resolution daily profiles of tissue adrenal steroids by portable automated collection	DataverseNO	2023
10.18710/q8oson	Replication data for DAS4Tracking - strain data for localization study	DataverseNO	2023
10.18710/vw1m5l	Replication data for : Metasurface supporting quasi-BIC for optical trapping and Raman-spectroscopy of biological nanoparticles	DataverseNO	2023
10.18710/tafusv	Correspondence Metadata from the Digital Scholarly Edition of Edvard Munch's Writings	DataverseNO	2023
10.18710/r7hm8j	The genitive alternation in 1960s and 1990s American English: Data from the Brown and Frown corpora	DataverseNO	2023
10.18710/rdpxql	Replication Data for: The flow in the induction and entrance regions of lab-scale wind farms	DataverseNO	2023
10.18710/fjwv6x	Replication Data for: Spatial variation in amount of carbon in boreal forest surface soil – the role of historical fires, hydro-topography, and contemporary vegetation	DataverseNO	2023
10.18710/aoqf05	Replication Data for: Dataset of motivational factors for using mobile health applications and systems	DataverseNO	2023
10.25934/pr00008699	Evaluation of baseline and on-treatment serum biomarkers to predict immunotherapy response in solid cancers	Vivli	2023
10.5281/zenodo.7915722	A Standardized Review of Bat Names Across Multiple Taxonomic Authorities	Zenodo	2023
10.6084/m9.figshare.20520567.v4	Manlick et al. 2023_Ecology	figshare	2023
10.17882/97666	Ieodo Ocean Research Station (Ieodo ORS): delayed mode dataset, annual release (2022)	SEANOE	2023
10.18758/71021082	Data and software to estimate the properties of the magnetospheric generator from ALIS observations of an auroral arc on 05/03/2008	Royal Belgian Institute for Space Aeronomy	2023
10.5255/ukda-sn-7835-1	2011 Census Microdata Individual Safeguarded Sample (Local Authority): Scotland	UK Data Service	2023
10.5255/ukda-sn-7834-1	2011 Census Microdata Individual Safeguarded Sample (Regional): Scotland	UK Data Service	2023
10.5255/ukda-sn-7682-1	2011 Census Microdata Individual Safeguarded Sample (Local Authority): England and Wales	UK Data Service	2023
10.5255/ukda-sn-7210-1	Census 1991: Individual Sample of Anonymised Records for Great Britain (SARs)	UK Data Service	2023
10.5255/ukda-sn-7207-1	Census 2001: Small Area Microdata (SAM)	UK Data Service	2023
